stage_id,phase,dataset,method,fusion_mode,regime,seed_id,init_seed,sampler_seed,worker_seed,augmentation_seed,corruption_seed,epochs,lr,batch_size,config,config_sha256,output_dir,resume_stage_id,resume,checkpoint_for_eval,endpoint_role,claim_bearing,descriptive_single_seed,split_protocol,evidence_version
M3-031,main,potsdam,qalf,dynamic_gated,base_clean,202,20211,20222,20233,20244,20255,35,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-031_potsdam_qalf_base_clean.yaml,B5E1FD05777141C0685F62E7881648BADA8E69F667752CAE5CD888D2ABE22808,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_202/base_clean,,,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_202/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-032,main,potsdam,qalf,dynamic_gated,clean_continuation,202,20211,20222,20233,20244,20255,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-032_potsdam_qalf_clean_continuation.yaml,9F75D3A89ECA1325A93349A6D426D2E7E9EE4ADBEB264C77416CFE84000F2A4C,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_202/clean_continuation,M3-031,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_202/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_202/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-033,main,potsdam,qalf,dynamic_gated,robust,202,20211,20222,20233,20244,20255,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-033_potsdam_qalf_robust.yaml,8D2256AECC9CC03B56728E31DE27CE6BE88C46F9131FE79E7ACEE9478BE88975,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_202/robust,M3-031,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_202/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_202/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-034,main,potsdam,qalf,dynamic_gated,base_clean,303,30311,30322,30333,30344,30355,35,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-034_potsdam_qalf_base_clean.yaml,D77D244135A2BD7F2F718B14E3FAF97D3AB18EFDC9830D1968EE28D27E6F66AB,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_303/base_clean,,,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_303/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-035,main,potsdam,qalf,dynamic_gated,clean_continuation,303,30311,30322,30333,30344,30355,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-035_potsdam_qalf_clean_continuation.yaml,44462DE79B682578E5613D36E0777D17FA119F8DEEDBFA14811E0B429860A85E,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_303/clean_continuation,M3-034,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_303/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_303/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-036,main,potsdam,qalf,dynamic_gated,robust,303,30311,30322,30333,30344,30355,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-036_potsdam_qalf_robust.yaml,267591AE2153D457C84ACA90A31755A6395501EFCB527CA8AAFF2937D0B074A9,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_303/robust,M3-034,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_303/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/qalf/seed_303/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M4-001,control,vaihingen,main_only,main_only,base_clean,101,10111,10122,10133,10144,10155,45,0.0003,8,configs/minimal_claim_m2_r2_20260716/control/m4-001_vaihingen_main_only_base_clean.yaml,0F57E456698D4E368CD1233CF17AEDAA95A40ADFD44EAE4611A4DF2CCA649B47,outputs/qalf_minimal_m2_20260715/control/vaihingen/main_only/seed_101/base_clean,,,outputs/qalf_minimal_m2_20260715/control/vaihingen/main_only/seed_101/base_clean/last_model.pt,control_budget_anchor,false,true,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M4-002,control,vaihingen,main_only,main_only,robust,101,10111,10122,10133,10144,10155,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/control/m4-002_vaihingen_main_only_robust.yaml,85C1ACE207EE6BC5D30F71A5E80452B484C44C106ADF0FAE25216F2F0324F3A2,outputs/qalf_minimal_m2_20260715/control/vaihingen/main_only/seed_101/robust,M4-001,outputs/qalf_minimal_m2_20260715/control/vaihingen/main_only/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/control/vaihingen/main_only/seed_101/robust/last_model.pt,descriptive_control,false,true,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M4-003,control,potsdam,main_only,main_only,base_clean,101,10111,10122,10133,10144,10155,35,0.0003,8,configs/minimal_claim_m2_r2_20260716/control/m4-003_potsdam_main_only_base_clean.yaml,011FB203B7150F14F0AC8FE19563B848D2CD637D906179D41A6B20CEE4F66C0D,outputs/qalf_minimal_m2_20260715/control/potsdam/main_only/seed_101/base_clean,,,outputs/qalf_minimal_m2_20260715/control/potsdam/main_only/seed_101/base_clean/last_model.pt,control_budget_anchor,false,true,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M4-004,control,potsdam,main_only,main_only,robust,101,10111,10122,10133,10144,10155,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/control/m4-004_potsdam_main_only_robust.yaml,97E70A38C47A828119962DB824111F19E03DC02DBF8AC2504D236B9262260328,outputs/qalf_minimal_m2_20260715/control/potsdam/main_only/seed_101/robust,M4-003,outputs/qalf_minimal_m2_20260715/control/potsdam/main_only/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/control/potsdam/main_only/seed_101/robust/last_model.pt,descriptive_control,false,true,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M4-005,control,vaihingen,availability_masked_fixed,availability_masked_average,robust,101,10111,10122,10133,10144,10155,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/control/m4-005_vaihingen_availability_masked_fixed_robust.yaml,D3794195DC7FC2B9235386CA3A4E924B0A0E6510EB70EAEABC7207FF1A1C7B5F,outputs/qalf_minimal_m2_20260715/control/vaihingen/availability_masked_fixed/seed_101/robust,M3-001,outputs/qalf_minimal_m2_20260715/main/vaihingen/fixed_late/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/control/vaihingen/availability_masked_fixed/seed_101/robust/last_model.pt,descriptive_component,false,true,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M4-006,control,vaihingen,quality_weighted,quality_weighted,base_clean,101,10111,10122,10133,10144,10155,45,0.0003,8,configs/minimal_claim_m2_r2_20260716/control/m4-006_vaihingen_quality_weighted_base_clean.yaml,1808FA0A945AE74A6FC0683182ACFBACCFFF12F33EA00F6DAE96964EACD192C0,outputs/qalf_minimal_m2_20260715/control/vaihingen/quality_weighted/seed_101/base_clean,,,outputs/qalf_minimal_m2_20260715/control/vaihingen/quality_weighted/seed_101/base_clean/last_model.pt,component_budget_anchor,false,true,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M4-007,control,vaihingen,quality_weighted,quality_weighted,robust,101,10111,10122,10133,10144,10155,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/control/m4-007_vaihingen_quality_weighted_robust.yaml,85D07A50055275755E91B9A3272E3A5AC500FDCD7D00C7D0AD3E2574BEF6B4A8,outputs/qalf_minimal_m2_20260715/control/vaihingen/quality_weighted/seed_101/robust,M4-006,outputs/qalf_minimal_m2_20260715/control/vaihingen/quality_weighted/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/control/vaihingen/quality_weighted/seed_101/robust/last_model.pt,descriptive_component,false,true,qalf-confirmatory-v1,qalf_minimal_m2_20260715
